hvs_id	p-value of MW origin	p-value of LMC origin
1	0.6310	0.0287
4	0.8733	0.0004
5	0.0000	0.0000
6	0.0000	0.8576
7	0.0000	0.8729
8	0.0000	0.0000
9	0.4989	0.7146
10	0.7092	0.8060
12	0.3701	0.6214
13	0.4066	0.3165
14	0.0005	0.0000
15	0.0825	0.6272
16	0.2194	0.6679
17	0.0000	0.0000
18	0.7162	0.0011
19	0.1629	0.1379
20	0.5086	0.6085
21	0.8717	0.5868
22	0.4831	0.4901
23	0.0004	0.0003
24	0.0058	0.8800
