hvs_id	p-value of MW origin	p-value of LMC origin
1	0.6532	0.2181
4	0.9359	0.0000
5	0.0000	0.0000
6	0.0000	0.0025
7	0.0000	0.0019
8	0.0000	0.0000
9	0.3783	0.6413
10	0.5363	0.1800
12	0.3056	0.1603
13	0.5604	0.2834
14	0.0000	0.0000
15	0.1037	0.2384
16	0.3965	0.4550
17	0.0000	0.0000
18	0.5828	0.0000
19	0.2120	0.0716
20	0.5349	0.6469
21	0.7696	0.5379
22	0.4648	0.3607
23	0.0001	0.0003
24	0.0306	0.0286
