hvs_id	p-value of MW origin	p-value of LMC origin
1	0.6876	0.1005
4	0.8836	0.0068
5	0.0000	0.0000
6	0.0000	0.4808
7	0.0000	0.3001
8	0.0000	0.0000
9	0.3304	0.6508
10	0.6460	0.8110
12	0.1287	0.2694
13	0.5398	0.4192
14	0.0003	0.0000
15	0.0103	0.3083
16	0.5341	0.7737
17	0.0000	0.0000
18	0.6943	0.0004
19	0.1715	0.0673
20	0.6588	0.7881
21	0.7954	0.7020
22	0.5635	0.6370
23	0.0000	0.0003
24	0.1093	0.7398
