hvs_id	p-value of MW origin	p-value of LMC origin
1	0.6704	0.3595
4	0.8804	0.0001
5	0.0000	0.0000
6	0.0000	0.0031
7	0.0000	0.0035
8	0.0001	0.0000
9	0.2732	0.5967
10	0.4958	0.3642
12	0.2776	0.0991
13	0.4817	0.2587
14	0.0001	0.0000
15	0.0297	0.1673
16	0.3968	0.5621
17	0.0000	0.0000
18	0.7704	0.0000
19	0.1338	0.0789
20	0.6389	0.6468
21	0.8120	0.4151
22	0.5748	0.4705
23	0.0002	0.0098
24	0.0135	0.0528
