HVS,source_id,x,x_err,y,y_err,z,z_err,u,u_err,v,v_err,w,w_err
1,577294697514301440,-67.14193317596498,8.438718363418051,-64.18636461935886,9.177414819789803,53.31113858827843,7.619492801239729,-560.4709604408085,218.15045897718414,-449.44200249193676,150.70106852856776,129.42606846668937,236.34402982283234
4,699811079173836928,-53.43449007455237,6.910195141093544,-11.966049484402141,1.8248321438714117,43.27323794470852,6.5960314777650435,-430.40984538459793,55.48763388373535,-45.2790572796198,63.32772499507054,348.84025957217557,58.87202837670539
5,1069326945513133952,-36.74289176723382,3.302234770388311,19.187304574020814,2.213799830748981,27.743603928046888,3.1986117909085054,-401.8422006175474,15.578334040724174,295.45036856978675,30.065174663344713,415.325000534003,16.334295871335186
6,3867267443277880320,-20.67690011651708,1.5675724572254308,-25.006891786073943,3.122289408711573,47.75800755488547,5.96033200929662,-112.43951603046827,73.72893872056372,6.388856608818836,56.87594099760009,555.8883278714098,37.28924643026395
7,3799146650623432704,-10.982208103251473,0.34212132038020066,-27.517794621163617,3.291486573692889,44.22808154098865,5.287766539733452,-37.79122605211141,42.47367974814668,-37.21579810161865,30.018262731008043,450.0148089950405,19.649371520894988
8,633599760258827776,-39.26622634319367,5.724422495845219,-19.302515967890088,3.547869866282648,38.56978342678299,7.085437820330375,-425.27284700828244,42.14839909941078,-20.305439826518967,36.82504174946814,209.4963510516224,40.34528057720971
9,3830584196322129920,-30.69129617869935,3.537589978420305,-47.878486488050875,7.504631632673717,51.93653849385789,8.137443808760976,40.224423122433286,171.5858332919761,-346.50765714168625,176.11109235554935,354.4795240573407,136.94983340721996
10,3926757653770374144,-12.372415609412045,0.46952173427482674,-11.993450160142645,1.324846970120026,50.212639771036336,5.544401815099213,-142.39381572288667,101.18387055560702,-193.04624135972105,76.19854529426736,372.54109775368147,24.623626578163236
12,3809777626689513472,-23.356851170328333,1.962716316108596,-36.404543627197704,4.690014102027204,51.4904273764178,6.630855770860878,155.58462500629744,248.58394574453152,-29.665483093631835,159.39611722184716,551.1768231859198,143.55528295999193
13,3804790100211231232,-28.993383598437813,3.839955290136835,-63.54614288266982,11.691320562169814,81.70076776184105,15.027610540381888,-23.848474243773193,376.23471096014947,-162.30394135727104,265.07582675079107,416.7754902319368,228.45321418090694
14,3859275333773935616,-36.98447565886523,4.641352487498795,-54.18063536174243,8.712738214168002,82.2937594179544,13.23023904541532,-1537.8666673072025,725.1156034093431,584.520543585525,698.4949552401145,357.3062330070403,441.3932035689832
15,3794074603484360704,-10.237233297977681,0.3100640543313375,-36.98377080265307,5.421242911489394,54.792510099725185,8.028676868217905,-285.4447291237281,113.08023427225035,-279.4418926021007,79.41547673528582,198.29440767622623,55.93956982673886
16,3708104343359742976,-0.5032842298910228,1.226034861015341,-26.227614779936253,4.2206696568965825,65.43936797907938,10.527459974561557,-224.2696219884304,161.85555585923234,-270.7189026975045,128.42884797993523,294.12380393017503,44.60444253342967
17,1407293627068696064,2.597357184596054,0.8405285893621629,35.949789958156025,2.818909828325781,32.77171406468919,2.568078245971795,211.11549657112897,25.756427348455944,192.36714540320705,23.907087731788824,381.77234346884245,23.10272068853896
18,2872564390598678016,-24.490634934613333,2.2609178355358472,67.06372804202591,9.263162916927472,-34.745207959873376,4.802047322570459,-1.5657932603511155,121.85684103892319,421.87927527307914,61.24195786258546,-173.0368140137892,107.03395010576007
19,3911105521632982528,-18.278828060880357,1.5924750922163697,-41.797919468730434,6.5534210707286515,87.3381634615996,13.690333320394789,376.56070213161007,515.7962494251273,-281.1105716624162,479.7665688702235,458.72760802140726,231.43606861650048
20,3800802102817768960,-12.772539116977569,0.6667628384464684,-36.89232523843309,5.289341729577857,65.49033750603807,9.386525641570762,93.46585221781336,229.96669272746962,-305.5620100592864,187.68877011927893,291.88514142531034,108.73000336541345
21,834069905715968640,-46.85033969260914,7.501571575549202,10.227845084064594,1.9811037551165211,59.97055565530265,11.612092779159747,-208.32839283862725,123.16905731887232,66.5591675834581,223.96702271854994,324.5313013521222,90.90154672218068
22,3897063727354575360,-12.499153051975812,0.6842839628816345,-39.084056788150015,6.110005807420671,74.33670421625281,11.617796198071172,120.51330247910417,334.3598068339217,-206.72299854567387,256.64946164512065,452.53528930364473,140.18215824304247
23,2681450921590663168,36.94751753047596,7.873045721710213,76.40328772612925,13.34664682137059,-73.21904519285178,12.794035129465113,1287.243133767817,716.8320559214449,-490.42139243364824,639.4371945652549,-383.221797409112,586.3569867024739
24,3810351984075984896,-15.45422125002101,1.0157642487210423,-30.469668445457405,4.22107931822459,44.087670761922666,6.104751586655066,17.598907141340977,76.8289512191735,-100.78742149130683,58.411298211131836,373.3561437830159,42.69785444616422
