HVS,source_id,cov_xx,cov_xy,cov_xz,cov_xu,cov_xv,cov_xw,cov_yy,cov_yz,cov_yu,cov_yv,cov_yw,cov_zz,cov_zu,cov_zv,cov_zw,cov_uu,cov_uv,cov_uw,cov_vv,cov_vw,cov_ww
1,577294697514301440,71.21339188492672,77.4471679118234,-64.30003982254972,107.46190683895719,212.50622399862334,375.1105675686506,84.22662730704364,-69.92864472627375,116.8687530604408,231.1082900535958,407.94645958226226,58.05783170477815,-97.02957072423511,-191.87625114676115,-338.6950648649512,47590.57456344738,-13269.548053410197,36679.81892373827,22711.266280977696,12624.780749152827,55859.6176252484
4,699811079173836928,47.7517519230313,12.610198417859904,-45.58077628367773,15.79834945190961,187.0702434311143,68.23676720616653,3.3300789548854284,-12.036891000433311,4.17200025716568,49.40117989452369,18.01984511852364,43.50850142569582,-15.080096585778934,-178.56532111557058,-65.1344651124937,3078.9390927973095,-369.31815950528363,3082.719340761024,4010.4809626705364,713.6533551338052,3465.985044888503
5,1069326945513133952,10.9049725782131,-7.310632988438807,-10.562778328478661,23.050091178947493,71.02099370313415,-25.33955377905842,4.90100771077843,7.08122786590226,-15.452652975392263,-47.612079324899724,16.987495973279373,10.231322015379233,-22.326787327473436,-68.79237960239237,24.54440738832416,242.68934527129093,290.20866467891307,30.73215164135143,903.9328061935489,-312.90446260007496,266.81455790347576
6,3867267443277880320,2.4573325553028815,4.894512770838351,-9.343439162475734,-1.9904724225463115,-7.401141121892845,-4.390077063828949,9.748886129475052,-18.610253710105596,-3.964621176326083,-14.741586207192485,-8.744151527488148,35.526268186409624,7.5683113759825735,28.141128762672565,16.692253496930224,5436.065126163165,349.6435416762717,1599.7390990981996,3234.937363109752,1763.7498470196783,1390.5157096511466
7,3799146650623432704,0.1170493388454688,1.1261102548106048,-1.8090938523128908,0.858759852929094,0.19619867782991582,0.17286714091741362,10.834100546811491,-17.404960669568553,8.261971337410282,1.887591491918095,1.6631230741902283,27.961034199408683,-13.272840275934403,-3.0324119281481527,-2.671803866505163,1804.0495523391726,294.93762774123195,300.1241862548341,901.1141196702193,574.5034669198571,386.10552327662475
8,633599760258827776,32.76966830430491,20.309912273125228,-40.5608508686291,152.25563565676612,87.81051531167061,166.8015626765236,12.587632340723275,-25.138714106451655,94.36465985638416,54.42300623524007,103.37990221203414,50.20443319443192,-188.4553140469445,-108.68798498299007,-206.45962130297985,1776.5230771047534,156.19920991973433,1507.2589963092078,1356.1108220665133,801.0585080631378,1627.7742203381817
9,3830584196322129920,12.514793151282793,26.54884063229518,-28.787515418139535,-121.4706403005289,107.66891510681745,46.63255185388545,56.32062235457404,-61.06973961112474,-257.6874129804031,228.40847924546767,98.92614090800042,66.21931612706494,279.4163584778532,-247.66854058382927,-107.26787822042193,29442.287032242446,-16453.78420666414,-2391.428091490658,31015.737165408136,21432.89987332664,18755.631982904957
10,3926757653770374144,0.22045506805780224,0.6220568881972616,-2.6032692211262685,6.189835069757194,17.025613397997834,4.595895781723672,1.7552545993281994,-7.345630858479326,17.46582461535897,48.04108242419099,12.968214595144286,30.74100630740159,-73.09338502571083,-201.04892920618687,-54.271168056627275,10238.3804282224,4242.970119666818,1877.8485420896861,5806.3344316511475,1740.2448257769893,606.3351125630782
12,3809777626689513472,3.8523323841665817,9.205351307854324,-13.014749106213552,-67.23178479973625,-8.851639691438839,-26.10214811872011,21.996672210658254,-31.099429062427244,-160.65389353373686,-21.15145993081993,-62.37245898022219,43.96912763651174,227.13637433020227,29.904447481014053,88.18369650044292,61795.21398619994,5968.538679979121,22479.530982911514,25407.630338007606,19691.57929550497,20608.53143635208
13,3804790100211231232,14.745551541280692,44.895046142312225,-57.70650672278969,-48.46192600897998,49.850751734764664,26.52464462949198,136.6897102816204,-175.69612603356714,-147.5496147725796,151.7781011385503,80.75826394071804,225.8335952253013,189.65506270112007,-195.09021148276398,-103.8038210920556,141555.3888390441,963.3268607686931,36921.241169460285,70266.59925960063,54896.464831970545,52191.914907885475
14,3859275333773935616,21.542583764886544,40.4396979772139,-61.40743105226293,1049.9372735765942,-498.01172406763527,40.51873666595867,75.91332545513255,-115.27391479186346,1970.9402870625433,-934.8666785654916,76.0616959139168,175.04272605335322,-2992.8606256308058,1419.5892641857104,-115.4992146464452,525803.1543707832,-176364.76226136595,68297.16291606624,487904.9605951015,259396.49476466948,194831.8567940256
15,3794074603484360704,0.09614164062119905,1.6809661759748742,-2.4894538897535545,12.8502723711892,12.078918414743578,8.657982654842616,29.390462514624296,-43.526278086026906,224.67760071624886,211.19104185687763,151.37848552856417,64.46094147308675,-332.7399057982708,-312.76676957167905,-224.18640243445554,12787.395130969644,4028.213949367687,3220.6245679560293,6306.944083974407,4389.370995437673,3129.298058361762
16,3708104343359742976,1.5031915442557922,-5.174791632017477,12.90729107257753,-54.94801273123188,-69.96512530673584,-21.697539065265076,17.814408640820346,-44.433819555216324,189.1605350598684,240.85749199646915,74.69456844381129,110.82963010859788,-471.8161148807466,-600.7619195761832,-186.30789497724643,26197.744917399432,11324.636232201778,1499.2669403658188,16494.298879430895,5275.517525816808,1989.5960856397423
17,1407293627068696064,0.7065024395839393,2.369421689975607,2.1585863571854733,9.518920843609852,-15.449598914769103,13.867673137539121,7.94641154846266,7.239325793995408,31.92393436640003,-51.813854726464825,46.50849548338093,6.595157780589185,29.083286223468992,-47.20336629021123,42.370087295803245,663.4068178926472,-310.57947069343487,127.39373676958147,571.5602750209482,-516.651241293965,533.7463781402093
18,2872564390598678016,5.111851696078023,-20.94366912573808,10.857251583718375,-10.940109696542494,9.951015842626983,24.372931114495255,85.80790338360804,-44.48303634449245,44.822512914211416,-40.77011525165076,-99.85786650817666,23.060119690599937,-23.236105224512006,21.135331925504474,51.76657315648855,14849.386695719311,3137.916976997012,-908.2058748024989,3750.6524158910133,5689.161469231918,11456.495605154441
19,3911105521632982528,2.5360276398823345,10.436368551312118,-21.801950855885163,-107.91080875741947,68.48512612171982,20.21032481782062,42.94818669400414,-89.72031325343868,-444.0791319430839,281.8328972804039,83.17038726121547,187.42897500301183,927.6973474088869,-588.7591001422225,-173.74594197194804,266051.09194286674,-25356.221998021476,18749.705942364293,230180.56421679136,107116.66800840672,53563.72513116413
20,3800802102817768960,0.44458157436467854,3.526807041267363,-6.258711654157101,-9.978989477402326,28.875405486346796,15.555955976878884,27.977695486163388,-49.649534762408,-79.16200959880791,229.06478799383837,123.40334942791517,88.10862579238135,140.48179823326063,-406.50096256824247,-218.9929790124617,52885.73747876003,3967.061195686214,5996.9383449423685,35227.77898446723,20094.218159010812,11822.450080844443
21,834069905715968640,56.274701597119694,-14.861688851372875,-87.11068733853168,49.096882803632674,328.6275399017318,-24.480571510903065,3.924850585548493,23.00522071396906,-12.966085566720793,-86.78784786800706,6.465118881175275,134.8433955797256,-75.999749165837,-508.7005361482887,37.89481508223218,15170.920099221643,-2000.5232866118831,10108.077945140094,50162.23051002171,-9829.967967229115,8263.256461614028
22,3897063727354575360,0.46825390693513275,4.181062608383447,-7.950030622979117,-16.897492207608668,17.604814947429315,8.265100027466453,37.332917625066834,-70.98622196408385,-150.87855678175114,157.19427238033128,73.79949092555043,134.97588801767736,286.8861945528058,-298.8951359811559,-140.32514382878213,111798.71640034547,14529.848845438477,14235.00307099483,65870.26356800158,35414.37663234458,19651.43051828777
23,2681450921590663168,61.986088657912624,105.08086227341401,-100.73003814020791,1621.2814188276595,-1288.9873021949202,-346.6019980150862,178.13654410528383,-170.76088351084906,2748.4497449192777,-2185.1337968811195,-587.5711411812237,163.6906087061616,-2634.651467138388,2094.6593496927367,563.2430293175794,513858.47356603696,-230262.6039900388,75981.04149738974,408888.10355555493,284702.5238171716,343821.3922826507
24,3810351984075984896,1.0317976449327217,4.2877072166126515,-6.2011124312958845,-9.893389459172676,10.145236708611403,5.395060711293697,17.817866968082722,-25.769156048449403,-41.11267119733119,42.15924014022971,22.419551831105107,37.268737309513746,59.45935282539593,-60.9729571415189,-32.42435985495725,5902.805801554176,71.11086187069327,1024.8956283275638,3411.9479976697257,2350.570675141457,1823.1432371705682
