hvs_id	p-value of MW origin	p-value of LMC origin
1	0.7149	0.0869
4	0.8328	0.0035
5	0.0000	0.0000
6	0.0000	0.3289
7	0.0000	0.4446
8	0.0000	0.0000
9	0.3880	0.7403
10	0.6191	0.7185
12	0.1209	0.1409
13	0.2801	0.2722
14	0.0000	0.0000
15	0.0562	0.3516
16	0.5710	0.8106
17	0.0000	0.0000
18	0.7472	0.0000
19	0.1734	0.0837
20	0.5108	0.6097
21	0.8437	0.6779
22	0.5592	0.6425
23	0.0013	0.0101
24	0.0290	0.5610
