hvs_id	p-value of MW origin	p-value of LMC origin
1	0.6303	0.1741
4	0.7828	0.0027
5	0.0000	0.0000
6	0.0000	0.4519
7	0.0000	0.3443
8	0.0000	0.0000
9	0.3174	0.7220
10	0.6696	0.8730
12	0.1168	0.2798
13	0.3742	0.2745
14	0.0000	0.0000
15	0.2293	0.4487
16	0.4337	0.7263
17	0.0000	0.0000
18	0.7685	0.0000
19	0.2592	0.2399
20	0.5820	0.6946
21	0.8317	0.6897
22	0.5345	0.5852
23	0.0009	0.0064
24	0.0966	0.7160
