hvs_id	p-value of MW origin	p-value of LMC origin
1	0.6786	0.1289
4	0.8709	0.0059
5	0.0000	0.0000
6	0.0000	0.7434
7	0.0000	0.6815
8	0.0000	0.0000
9	0.3849	0.7766
10	0.6692	0.8149
12	0.2566	0.5467
13	0.4602	0.3628
14	0.0001	0.0000
15	0.0664	0.5348
16	0.3529	0.7241
17	0.0000	0.0000
18	0.5937	0.0000
19	0.1253	0.0726
20	0.5800	0.6451
21	0.7998	0.7085
22	0.6805	0.7343
23	0.0012	0.0026
24	0.0178	0.9231
