hvs_id	p-value of MW origin	p-value of LMC origin
1	0.6755	0.1683
4	0.9093	0.0099
5	0.0000	0.0000
6	0.0000	0.6949
7	0.0000	0.4784
8	0.0000	0.0000
9	0.3588	0.5947
10	0.5426	0.7373
12	0.0820	0.3059
13	0.4139	0.2974
14	0.0000	0.0000
15	0.0213	0.3029
16	0.5492	0.7489
17	0.0000	0.0000
18	0.6237	0.0007
19	0.2116	0.1075
20	0.5915	0.6946
21	0.7995	0.6051
22	0.5870	0.6626
23	0.0004	0.0005
24	0.1622	0.7339
